20100926 12 17  51  2.33  0.643 0.523 0.088
20100928 10 10  28  2.28  0.629 0.512 0.094
20101002 12 11  47  2.41  0.665 0.542 0.096
20101004 11 19  36  2.31  0.638 0.520 0.073
20101023 07 27  20  2.20  0.620 0.502 0.055
20101024 08 18  56  2.10  0.592 0.480 0.080
20101026 07 27  13  2.17  0.612 0.497 0.149
20101029 09 49  42  2.35  0.663 0.540 0.115
20101102 09 57  23  2.36  0.673 0.544 0.082
20101103 09 51  22  2.39  0.681 0.552 0.089
20101104 10 12  37  2.35  0.670 0.543 0.155
20101105 10 02  29  2.16  0.616 0.500 0.061
20101121 06 55  14  2.10  0.612 0.497 0.121
20101126 07 08  13  2.01  0.592 0.480 0.047
20101202 04 39  14  2.02  0.602 0.487 0.107
20101205 05 08  10  2.05  0.611 0.496 0.034 
20101206 05 30   7  2.05  0.611 0.497 0.041
20101207 03 52   6  1.91  0.569 0.464 0.071
20101217 07 28  18  2.18  0.664 0.539 0.114
20110122 05 47  10  2.08  0.671 0.543 0.0
20110123 04 08  11  1.88  0.606 0.492 0.0
20110124 05 58  14  2.00  0.645 0.524 0.0
20110205 05 03   7  1.88  0.614 0.500 0.0
20110516 17 09  49  2.04  0.658 0.535 0.199
20110522 16 59  89  2.16  0.689 0.562 0.096
20110601 17 03  22  2.02  0.637 0.518 0.141
20110603 16 20  20  1.75  0.552 0.448 0.221
20110622 15 50  50  1.61  0.491 0.400 0.137
20110703 16 57  42  1.91  0.575 0.466 0.107
20110707 17 08  45  1.90  0.566 0.460 0.058 
20110712 14 20  45  1.91  0.563 0.459 0.068
20110717 17 28  52  2.23  0.657 0.531 0.083
20110729 16 03  74  1.65  0.476 0.386 0.094
20110801 12 42  48  2.33  0.672 0.533 0.138
20110802 16 53  51  2.37  0.683 0.552 0.104
20110803 16 29  51  2.32  0.661 0.539 0.077
20110807 16 24  64  2.02  0.576 0.467 0.099
20110816 12 47  57  2.17  0.612 0.497 0.116
20110829 14 44  34  2.32  0.647 0.525 0.104
20110831 12 55  41  1.65  0.460 0.373 0.063
20110831 14 04  49  2.19  0.611 0.494 0.066
20110923 09 17  39  2.37  0.654 0.530 0.081
20120531 17 09  37  2.08  0.663 0.535 0.214
20120729 17 58  41  1.35  0.389 0.317 0.087
20120730 11 40  27  2.35  0.677 0.551 0.071
20121006 07 42   8  2.17  0.599 0.485 0.125
20130330 22 26  48  1.02  0.340 0.276 0.158
20130405 18 15  17  1.95  0.651 0.528 0.0
20130405 19 27  24  1.50  0.501 0.406 0.0
20130405 20 56  35  1.07  0.357 0.290 0.0
20130405 22 16  42  0.87  0.291 0.235 0.0
20130405 23 55  54  0.32  0.107 0.087 0.0
20130406 17 31  43  1.83  0.611 0.495 0.0
20130406 18 08  47  1.70  0.568 0.460 0.0
20130406 18 54  53  1.20  0.401 0.325 0.0
20130406 20 00  59  1.54  0.515 0.417 0.0
20130406 21 39  70  1.51  0.504 0.408 0.0
20130406 23 02  80  0.95  0.317 0.257 0.0
20130407 00 13   3  0.61  0.204 0.165 0.0
20130407 01 37  11  0.98  0.327 0.265 0.0
20130407 17 51  45  1.53  0.511 0.414 0.0
