20160529   9 17   6 110.2  0.605 0.525 9.29
20160602  11 34  53 111.5  0.613 0.532 9.28
20160606  11 32  45 106.3  0.591 0.512 9.22
20160627   8 51  29  84.8  0.548 0.475 8.36
20160629   8 15  25  80.0  0.528 0.458 8.25
20160705   9 47  40  81.3  0.572 0.497 7.91
20160708   8  6  20  74.2  0.541 0.469 7.74
20160725   5 49  12  55.6  0.500 0.434 6.81
20160726   4 54  12  61.5  0.560 0.486 6.76
20161227   5 58  20  13.9  0.584 0.507 2.91
20170405   2 32  17  6.31  0.533 0.461 2.07
20170406   4  5  11  6.33  0.534 0.465 2.07
20170410   3 53  31  5.70  0.491 0.427 2.05
20171001  18 51  24  3.90  0.429 0.370 1.83
20171002  16 59  90  4.17  0.453 0.395 1.84
20171002  17 03  91  4.88  0.531 0.462 1.84
20171003  16 57  96  5.23  0.569 0.494 1.84
20171003  17 01  97  5.16  0.561 0.487 1.84
20171004  18 49  37  5.06  0.550 0.476 1.84
20171005  18 53  80  5.04  0.542 0.473 1.85
20171005  19 01  82  5.11  0.550 0.479 1.85
20171113  16 40  71  6.43  0.587 0.510 2.01
20180125  16 28  75 10.86  0.552 0.479 2.70
20180227  15 09  29 17.05  0.580 0.503 3.30
20180316  14 20  48 22.23  0.593 0.514 3.73
20180331  14 58  36 26.28  0.555 0.481 4.20
20180413  14 31  54 34.92  0.592 0.513 4.70
20180524  13 02  56 67.43  0.544 0.472 7.05
20180528  16 07  73 72.82  0.544 0.473 7.37
20180531  13 20  56 81.19  0.576 0.500 7.60
20180601  13 08  52 79.30  0.553 0.480 7.68
20180602  12 13  51 83.92  0.576 0.499 7.76
20180603  11 40  49 81.04  0.546 0.474 7.84
20180612  14 03  92 89.79  0.520 0.448 8.66
20180613  14 45  46 91.48  0.531 0.449 8.75
20180616  13 15  25 98.47  0.533 0.462 9.03


